,Entity,Code,Year,Annual CO₂ emissions,Annual CO₂ emissions including land-use change,Annual CO₂ emissions from land-use change
6947,China,CHN,2012,9779281000.0,9836256000.0,56975200.0
6948,China,CHN,2013,9956309000.0,10001230000.0,44920640.0
6949,China,CHN,2014,9998621000.0,10441892000.0,443270720.0
6950,China,CHN,2015,9866905000.0,10210881000.0,343976320.0
6951,China,CHN,2016,9764980000.0,9981155000.0,216176000.0
6952,China,CHN,2017,10011107000.0,10244651000.0,233543360.0
6953,China,CHN,2018,10353877000.0,10599988000.0,246110880.0
6954,China,CHN,2019,10740996000.0,11005317000.0,264320960.0
6955,China,CHN,2020,10956213000.0,11251202000.0,294988640.0
6956,China,CHN,2021,11472369000.0,11799967000.0,327598240.0
15509,India,IND,2012,1962594300.0,2146307300.0,183712960.0
15510,India,IND,2013,2037415600.0,2281621200.0,244205600.0
15511,India,IND,2014,2187343000.0,2311955700.0,124612640.0
15512,India,IND,2015,2270766000.0,2453856300.0,183090080.0
15513,India,IND,2016,2383816000.0,2587021300.0,203205440.0
15514,India,IND,2017,2434868000.0,2619277000.0,184409120.0
15515,India,IND,2018,2600446500.0,2757229000.0,156782560.0
15516,India,IND,2019,2626459400.0,2760745000.0,134285600.0
15517,India,IND,2020,2445012000.0,2553759500.0,108747520.0
15518,India,IND,2021,2709683700.0,2794981600.0,85297920.0
17057,Japan,JPN,2012,1306182500.0,1298781200.0,-7401280.0
17058,Japan,JPN,2013,1315568800.0,1309193500.0,-6375360.0
17059,Japan,JPN,2014,1264413200.0,1258367600.0,-6045600.0
17060,Japan,JPN,2015,1223605100.0,1218438900.0,-5166240.0
17061,Japan,JPN,2016,1203888100.0,1200114200.0,-3773920.0
17062,Japan,JPN,2017,1188359000.0,1186197200.0,-2161760.0
17063,Japan,JPN,2018,1143411800.0,1142752300.0,-659520.0
17064,Japan,JPN,2019,1106015500.0,1106675000.0,659520.0
17065,Japan,JPN,2020,1042224000.0,1043762900.0,1538880.0
17066,Japan,JPN,2021,1067398460.0,1069999900.0,2601440.0
27482,Russia,RUS,2012,1694576400.0,1834907600.0,140331200.0
27483,Russia,RUS,2013,1632716400.0,1772314900.0,139598400.0
27484,Russia,RUS,2014,1631662200.0,1714138900.0,82476640.0
27485,Russia,RUS,2015,1629713200.0,1840246500.0,210533440.0
27486,Russia,RUS,2016,1624756400.0,1916593900.0,291837600.0
27487,Russia,RUS,2017,1654154100.0,1981312600.0,327158560.0
27488,Russia,RUS,2018,1700452900.0,2075170200.0,374717280.0
27489,Russia,RUS,2019,1692363400.0,2095330000.0,402966720.0
27490,Russia,RUS,2020,1624221400.0,2053972000.0,429750560.0
27491,Russia,RUS,2021,1755547400.0,2193248800.0,437701440.0
35667,United States,USA,2012,5345454000.0,5354944000.0,9489760.0
35668,United States,USA,2013,5480926000.0,5460921000.0,-20005440.0
35669,United States,USA,2014,5528871000.0,5561737000.0,32866080.0
35670,United States,USA,2015,5376578000.0,5399148500.0,22570240.0
35671,United States,USA,2016,5251757600.0,5313056300.0,61298720.0
35672,United States,USA,2017,5210957300.0,5276909600.0,65952000.0
35673,United States,USA,2018,5376657400.0,5457595400.0,80937760.0
35674,United States,USA,2019,5259144000.0,5353529000.0,94384640.0
35675,United States,USA,2020,4715691000.0,4820444700.0,104753760.0
35676,United States,USA,2021,5007336000.0,5120113700.0,112777920.0
